num_debate,canal,username,fecha,comentario,num_likes
1,universal,perlapatriciamartinezherna3422,07/04/2024,"Pésimo, al principio se dedicaron más sacarse los trapitos al sol y  fueron poco claros con sus propuestas. Hay dio podre de nuestro México. ¿Porque al candidato varón le fallaba mucho el audio?",26
1,universal,darkhonoko-ippenshindemiru1511,07/04/2024,"Si hace 6 años el debate fue un chiste. El de hoy fue peor, ni a quien irle.",38
1,universal,mauriciorodriquezvalencia6452,07/04/2024,En la primera pregutna Claudia no respondió como o con que presupuesto se mejoraría el sistema de salud y perdio mucho tiempo con cosas que no eran sobre la pregunta   Jorgue hace por que la gente lo tope  igual perdio tiempo y uso el pupulismo de los niños primero y no dijo nada de valor solo que cubrira los medicamentos de todos y todas las niñas pero el como y el con que quien sabe   Xochitl solo tiro tierra quiere que usa entre a mexico para enriqueser al gobierno de baiden que buena falta le hace (esto con la guerra que quiere hacer contra el narco que obvio veneficiara a la economía privada de las empresas armamentista amrericanas) propuso un nuevo sistema con tarjetas (las cuales serviran seguramente como labado y blanqueo de dinero a nivel gubernamental) y si dinero hay si no se lo roban,16
1,universal,eljc8352,07/04/2024,"Se me rompe el corazón, saber que Claudia también miente  por sus respuestas en las preguntas evade   al único que se le ve seguridad mas a maynez!  Esta vez el debate lo ganó maynez en mi opinión",21
1,universal,paradojadelaeternidad5511,07/04/2024,"El tiempo lo tenían contado, la mitad de su actitud era estarse culpando en lugar de informarnos desde la convicción de realmente querer cambios, la verdad me decepcionaron los tres, que necesiten atacar al otro para reafirmarse, eso sería más bien hacerlo legal... Será que al pueblo nos gusta el entretenimiento?",6
1,universal,user-fe9pk7mh8p,07/04/2024,Se escuchan ecos arreglen el audio,10
1,universal,mauriciorodriquezvalencia6452,07/04/2024,Pesimo el audio asqueroso la verdad en la pregunta del minuto 34:57  que se le hizo a jorge se perdió todo el audio de su respuesta,14
1,universal,jafetca1,07/04/2024,Jajaja jajaja 1:39:59  la cara de la Momia cuando le dijeron que también anda con los del PRIAN (fotos) y luego la rematan con que no tiene el carisma de AMLO jajaja jajaja esa estuvo buena...,2
1,universal,jorgem.nicola4050,07/04/2024,"No fue un buen debate, lo que destacó es la sonrisa idéntica a la de AMLO de su candidata, …",5
1,universal,mauriciorodriquezvalencia6452,07/04/2024,Con lo de los medicamentos de piojos si se la avento buena Xochitl por que queramos o no aceptarlo si estuvo muy mal,19
1,universal,antoniogc1568,07/04/2024,"No se centren en el chisme, cenctrense en las PROPUESTAS, por favor.",12
1,universal,oscarperezsosa845,07/04/2024,"Este gobierno fue y sigue siendo un fracaso en salud , desde el Insabi, los medicamentos para niños con cáncer y desabasto en general de medicamentos, el fracaso en el manejo de la pandemia, en fin todo mallll… increíble lo que dice la candidata de Morena. Y quiere continuidad? Continuar con el fracasototeeee?…",13
1,universal,DanielHernandez-nj5nn,07/04/2024,"Cómo cada 6 años es lo mismo se agreden, se dicen mentirosos, se dicen corruptos y bla bla bla al final ya se sabe que los 3 son todos eso mentirosos y corruptos ya esto lo veo por diversión la neta",7
1,universal,mauriciorodriquezvalencia6452,07/04/2024,Que triste ver tanta ignorancia en los comentarios y opinión del pueblo mexicano se nota que nos han echo pasar por un sistema académico deplorable cero objetividad y logica en este chat,10
1,universal,user-yi6cb1mz1i,07/04/2024,"Ay, queríamos escuchar propuestas, no ataques",10
1,universal,jonathanyairbecerramercado2956,07/04/2024,35:15 minuto que paso ahi,0
1,universal,gabotorres9145,07/04/2024,Xochil solo llevaba las tragedias para atacar a claudia pero ella es la que se mira mal por abusiva,28
1,universal,danielfloresrivera3095,07/04/2024,Esa Xóchitl y su coguccion,7
1,universal,andresgarciaaranda5650,07/04/2024,"En el minuto 26 y 40 seg, se puede apreciar en el reloj como le quitan tiempo a Claudia Sheimbaun, casi 2 min le roban",9
1,universal,killerromi,07/04/2024,Que feo formato,4
1,universal,RamsesLozano,07/04/2024,1:06:00,0
1,universal,diegolcl1995,07/04/2024,"El audio está muy mal, por favor arreglenlo 35:41",0
1,universal,BandaCats156,07/04/2024,"Sin duda este es debate más xd que he visto, más por lo que dice Xóchitl, por que anda culpando y tratando de que le responda Claudia, y Maynez solo se le ve sonriendo cuando yo solo me ando preguntandome de donde salio ese Men xD  Qué Claudia gane la Presidencia!",2
1,universal,mariadelcarmenrodriguezdia6548,07/04/2024,Excelente moderador del Análisis post debate. Bravo Carlos González es un gusto verte en pantalla,2
1,universal,mauriciorodriquezvalencia6452,07/04/2024,Xochitl quiere desviar mucho recurso quiere regalar tablets con internet dar tarjetas de subcidio para medicamentos hacer un nuevo sistema de guarderías y todo de aqui 41:34 para atras cuantos miles de millones se podran desviar con estas iniciativas,6
1,universal,juliohinojos-zc5lu,07/04/2024,Creo que ningún candidato de los 3 tiene la fuerza que tiene AMLO. Necesitamos uno mayor .con carácter como putin Rus. Con muchos testic.,11
1,universal,tecojoorita,07/04/2024,Donde puedo vender mi voto?,2
1,universal,adriana7519,07/04/2024,"Claudia, templada; Xóchitl dispersa",12
1,universal,jlqwerty,07/04/2024,Me agrada el análisis y manejo dela mesa qué tiene Julieta,4
1,universal,teodoraavila1090,07/04/2024,No olviden quien devastó la selva del sureste y robaron tierras a los ejidatarios,7
1,universal,antonioalvarez9020,07/04/2024,"Un debate desastroso las cámaras, sonido , el cronómetro el INE , los moderadores , hay otros debates archivados muy buenos y este de chochil malísimo solo favorecen a chochil los del INE.",2
1,universal,cristinayoung8027,07/04/2024,Jorge muy buenas respuestas las otras dos defendiendo sus corrupciones gracias por sacar los trapitos al sol ahora sabemos de q carecen,10
1,universal,Erick_XCX,07/04/2024,"POG GAGIO, POG TELEGVISION Y POG GEDES SOGCIALES.",17
1,universal,AlejandraMartinez-yz9gh,07/04/2024,"Que vergüenza!!! Con un país de más de cien millones de habitantes, tener solo estas tres opciones. Temas como el narcotráfico por ejemplo cuando van a tocarlo... Muertes cotidianas a raíz de este problema como van a erradicarlo.",5
1,universal,mariaelenacuevasbenavides8525,07/04/2024,"En educación hay que mejorar los programas para preparar ciudadanos responsables, creativos. En los libros se debe incluir la manera de alimentarse para tener una salud integral, conocer plantas medicinales, ornato, etc. Incluir en libros de texto educación financiera, cívica.",2
1,universal,ArmandoW11691,07/04/2024,La bandera al revés,0
1,universal,alex0438,07/04/2024,"En resumen, Claudia ganó, Maynez sorprendió en propuestas y Xóchitl lamentable, puro ataque como era de esperarse, ni con el tiempo extra que le dieron bastó para que no la hicieran papilla.",4
1,universal,LAMUCHACHA,07/04/2024,"EL SISTEMA DE SALUD EN MI ESTADO SONORENSE ES DEPLORABLE NOS HACE FALTA MAS, CLAUDIA SE ENFOCA EN CUANTO A EDUCACIÓN EN LA CIUDAD PERO DONDE QUEDAN LOS NIÑOS DE LAS REGIONES ALEJADAS DE LAS PRINCIPALES MUNICIPIOS, NO HAY MAESTROS, UTILIZAN UN MAESTRO PARA DOS GRADOS ESO NO SE LLAMA EDUCACIÓN, ESTA MUY POBRE LA EDUCACIÓN EN LAS ÁREAS RURALES,ME GUSTA  MAYNES DUELE DECIR PERO XOCHILIT TIENE MUCHA RAZÓN EN CUANTO TEGNOLOGIA,ES TAN IMPORTANTE POR QUÉ HOY EN DÍA ES LO QUÉ CONLLEVA A MUCHOS NIÑOS A PENSAR EN DIFERENTES CARRERAS HOY EN DÍA TODO ES TEGNOLOGICO,CLAUDIA VINE A ESCUCHAR UNA MEJOR PROPUESTA,NO A PREGUNTAR QUÉ DIPLOMADOS TIENE.",6
1,universal,elenadelarosa2215,07/04/2024,"Estoy impresionada de vdd del nivel de mentiras de CLaudia, como es posible que acetemos esta clase de gente al mando de nustro pais ni como delegada jefa de gobierno y mucho menos como presidenta, elegir alguien de esa calaña es meternos un balazo en el pie que verguenza !",5
1,universal,petergonse2697,07/04/2024,"Solo le falta a la diputada de morena, preguntar, CUANTO GANA LORET.",4
1,universal,ferlanymorales4397,07/04/2024,"Asi clmo claudia evadio algunas preguntas, xochil evadio todaas, solo de ver a xochil me da miedo que vaya a ganar",4
1,universal,GMRone,07/04/2024,Xochitl..fue a tirarle a Claudia?..siempre.la.politica es tirarle al.otro..en.lugar de proponer y apoyar los mejores proyectos.....y no robar...ALV,10
1,universal,antonioalvarez9020,07/04/2024,Se pasaron los del INE en este debate con el reloj ya me imagino si fuera un campeonato de atletismo de 100 metros planes hubiera ganado chochil y sería la mujer mas rápida del mundo.,2
1,universal,irmamontero576,07/04/2024,Candidata Xochitl los mexicanos queremos proyectos y soluciones no ataques s los contrincantes. En educación y salud recuerde que ya estaban privatizando.,0
1,universal,user-jf6xk8cc2k,07/04/2024,No veo ninguno de ellos q sea apto para la presidencia de la República pero siento que esto ya está hablando y va a ganar Claudia Sherman,2
1,universal,pimpogrenudo1,07/04/2024,Como se le hace para no vomitarse al estar cerca de un “saco de pus?!”,1
1,universal,gabrielaleoncruz7758,07/04/2024,"Que bueno que CLAUDIA SHEMBAUM se mantuvo firme a sus propuestas y no cayó en el juego de perder tiempo en seguirle el juego a XOCHITL, así queremos a una PRESIDENTA CONGRUENTE y con ETICA y no una BUSCA PLEITOS y PAYASA DE CIRCO, VIVA CLAUDIA ella si nos REPRESENTA.",14
1,universal,juanrivas5250,07/04/2024,"No soy experto ni mucho menos en escenarios pero ahora si como dice el dicho del chavo del 8, al INE le salió bien sin querer queriendo el debate ya que mostró el rostro de los opuestos cuando se expresaba un candidato y eso siempre lo oculta la TV en cambio cualquier mortal desearía estar en vivo ahí en el escenario para ver las expresiones contrarias. Así es que mis más amplias felicitaciones a quien realizaron este debate",0
1,universal,felixmora5356,07/04/2024,"Nadie respondió nada de lo que les preguntaron, quien hace la cuenta?",1
1,universal,user-dz2qt7ty2n,07/04/2024,Me gusta como ustedes abordan  los temas me voy a volver. Cómo ustedes,0
1,universal,user-jr3fu7qs3d,07/04/2024,Estuvo interesante,1
1,universal,arturocanales8402,07/04/2024,"No puede ser, cada vez que oigo a exponer a alguien de Morena, que pobre esta nuestra política que bajo a caido, más ignorancia y terquedad imposible y sale alguien mas de Morena y desbanca al anterior.",1
1,universal,Pepe-cy1pn,07/04/2024,Xochilt se queda callada cuando dicen la vdd,9
1,universal,blancamarines6637,07/04/2024,Nunca más podrá volver el PRI a el gobierno después de todo lo vivido por años,1
1,universal,luisoratoria,07/04/2024,Muy bien carlos González,0
1,universal,javieriche1036,07/04/2024,1:13:50 lo mas curado! la reacción de Denise que se aguantó la risa... jajajajaja!,0
1,universal,armandomexicanos6130,07/04/2024,"En realidad la reforma a la evaluación docente era muy buena, fue un error de Regeneración haber echado para atrás esa reforma cambio sustancial para la educación desde básica hasta superior",2
1,universal,jorgetorreshernandez4973,07/04/2024,"Que vergüenza en el , 2024 y ver en que personas, vamos al futuro, las lavandera se quedaron cortas, DAN PENA AJENA",1
1,universal,elchuyhernandez,07/04/2024,Pogque habla así hahahaha 🫢,0
