"Palabra","Sugerencia"
"narco","narcotraficante"
"mas","más"
"caido","caído"
"zaco","saco"
"xk","porque"
"bandas","carteles"
"d","de"
"ala","a la"
"calo","enojó"
"cayo","cayó"
"botos","votos"
"k","que"
"i","y"
"mada","dama"
"ud","usted"
"pada","para"
"alla","allá"
"mmi","mi"
"ami","a mi"
"asi","así"
"aki","aquí"
"asé","hace"
"ims","IMSS"
"aa","ah"
"bandos","facciones"
"sa","sabe"
"ba","va"
"bu","buh"
"ahi","ahí"
"ua","ya"
"an","han"
"bas","vas"
"aya","allá"
"orita","ahorita"
"pedos","pedos"
"verda","verdad"
"0","wooow"
"bka","la"
"pi","pinche"
"shi","pinche"
"bote","cárcel"
"dl","del"
"bola","grupo"
"ok","de acuerdo"
"pd","posdata"
"aun","aún"
"4a","4ta"
"ps","pues"
"qu","que"
"loka","loca"
"man","hombre"
"manes","Maynez"
"g","estúpido"
"coml","como"
"pir","por"
"eun","un"
"lla","ya"
"chingao","carajo"
"chingo","chingo"
"callo","cayó"
"meda","me da"
"iq","cerebro"
"mega","gran"
"qpd","que en paz descanse"
"kk","caca"
"go","apoyo a"
"rd","PRD"
"bn","bien"
"vs","contra"
"ra","apoyo"
"dra","doctora"
"paa","para"
"ora","ahora"
"paja","tontería"
"ase","hace"
"xo","xochitl"
"drla","de la"
"boten","Voten"
"oy","oye"
"pq","porque"
"⁰d","odio"
"alo","a lo"
"aue","que"
"amlo","amlo"
"zvs","va perdiendo"
"aga","haga"
"aser","hacer"
"nola","no la"
"on","cabrón"
"almo","amlo"
"pior","peor"
"yya","y ya"
"abla","habla"
"ate","te"
"teda","te da"
"eya","ella"
"sir","señor"
"kd","que"
"ayq","hay que"
"gdl","guadalajara"
"maymes","Maynez"
"clmo","colmo"
"gio","yo"
"dea","sea"
"llo","lo"
"ban","van"
"rsa","Esa"
"pal","para el"
"prian","prian rpresentado por xochitl"
"ahi","ahí"
"xochil","xochitl"
"xóchitl","xochitl"
"sheimbaun","sheinbaum"
"chochil","xochitl"
"xochilit","xochitl"
"clmo","como"
"shembaum","sheinbaum"
"pri","pri representado por xochitl"
"mochitl","xochitl"
"4t","4ta transformación"
"sra","señora"
"zaco","saco"
"sim","sin"
"uds","ustedes"
"mo","lo"
"ésa","esa"
"sheinbawn","sheinbaum"
"aver","a ver"
"shemba","sheinbaum"
"mainis","maynez"
"pan","PAN"
"máynes","maynez"
"ablan","hablan"
"priand","PRIAN"
"dia","día"
"narcos","narcotraficantes"
"cochilt","xochitl"
"pro","favor de"
"asia","hacia"
"sheib","sheinbaum"
"cochi","xochitl"
"aque","a que"
"alas","a las"
"cheimbaum","sheinbaum"
"nmms","no mames"
"xóchilt","xochitl"
"po","por"
"dea","sea"
"prianrd","PRIANRD"
"deñ","del"
"pada","para"
"asta","hasta"
"rsa","esa"
"ola","marea rosa"
"xoxhicles","xochitl"
"ce","se"
"morenaa","MORENA representado por Claudia"
"prianprd","PRIANRD representado por xochitl"
"pen","pendeja"
"xochilth","xochitl"
"xochilindrina","xóchitl es estúpida"
"xochilindrina","xochitl es estupida"
"prrd","PRD"
"shochi","xochitl"
"agan","hagan"
"wn","en"
"ablas","hablas"
"pj","peje"
"arta","harta"
"vasta","basta"
"nolo","no lo"
"sa","sabe"
"ba","va"
"maine","maynez"
"mms","mames"
"aya","haya"
"leda","le da"
"ho","o"
"nms","no mames"
"has","haz"
"hate","odio"
"esra","esa"
"ables","hables"
"xocho","xochitl"
"vrg","verga"
"kdo","quedo"
"dl","del"
"abue","abuela"
"gen","gente"
"manines","maynez"
"epn","enrique peña nieto"
"abra","habrá"
"prro","perro"
"anque","aunque"
"rta","rata"
"asu","a su"
"xhochilt","xochitl"
"sheiumban","sheinbaum"
"gob","gobierno"
"ñora","señora"
"botan","votan"
"leia","leía"
"ablo","hablo"
"baines","maynez"
"go","vamos"
"rd","PRD"
"asus","a sus"
"deo","de"
"ose","o se"
"mayes","maynez"
"sen","sean"
"xg","xochitl galvez"
"alli","allí"
"aca","acá"
"baga","baja"
"olo","o lo"
"maneis","maynez"
"sochit","xochitl"
"cotchil","xochitl"
"madures","madurez"
"pripan","PRIAN"
"hrs","horas"
"zvs","va"
"kg","kilogramo"
"laa","la"
"au","su"
"osea","o sea"
"xque","por qué"
"mmda","mamada"
"morenas","MORENA"
"ases","haces"
"sochtl","xochitl"
"aria","haría"
"mrd","mierda"
"cochicles","xochitl es estupida"
"rsta","está"
"pany","PAN y"
"xoclilt","xochitl"
"vende","vender"
"boy","voy"
"mailes","maynez"
"mainers","maynez"
"vasa","vas a"
"eñ","el"
"nose","no se"
"ono","o no"
"avia","había"
"xochli","xochitl"
"cre","creé"
"ls","la"
"che","pinche"
"maynés","maynez"
"sir","siempre"
"bota","vota"
"maignes","maynez"
"hes","es"
"laque","la que"
"mordna","MORENA"
"mines","maynez"
"ñe","le"
"brian","PRIAN representado por xochitl"
"penc","pensiones"
"aiga","haya"
"mad","madre"
"ariba","arriba"
"2do","segundo"
"seg","segundos"
"via","vía"
"chichi","limosna"
"talvez","tal vez"
"nl","nuevo león"
"vaynes","maynez"
"ptm","puta madre"
"shie","sheinbaum"
"soshil","xochitl"
"cago","cagó"
"xoxhilt","xochitl"
"maney","maynez"
"made","hecho"
"wifi","internet"
"pcm","poca madre"
"but","pero"
"my","mi"
"nd","nada"
"mecho","mejor"
"eate","este"
"sheimbam","sheinbaum"
"oir","oír"
"botes","votes"
"arto","harto"
"yalo","ya lo"
"old","viejo"
"daa","da"
"aja","ajá"
"p2","pedo"
"malda","maldad"
"uo","yo"
"loko","loco"
"cn","con"
"oso","ridículo"
"miy","muy"
"madie","nadie"
"séa","sea"
"may","maynez"
"veia","veía"
"sua","sus"
"lsa","las"
"plaito","conflicto"
"caida","caída"
"botana","tontería"
"llos","los"
"echo","hecho"
"hoi","hoy"
"voi","voy"
"talo","taló"
"ñas","las"
"co","con"
"nós","nos"
"is","está"
"venia","venía"
"ò","o"
"daria","daría"
"eu","Estados Unidos"
"peeo","pero"
"iso","hizo"
"isr","impuesto sobre la renta"
"sta","esta"
"loque","lo que"
"moren","MORENA"
"qro","quiero"
"cas","casi"
"artò","hartó"
"echos","hechos"
"haver","haber"
"ia","inteligencia artificial"
"sii","si"
"tenia","tenía"
"oor","por"
"god","dios"
"tenian","tenían"
"mamei","maynez"
"nv","nevadas"
"dica","dedica"
"lis","los"
"xoshi","xochitl"
"tia","tía"
"nole","no le"
"eque","es que"
"yno","y no"
"so","son"
"tre","tres"
"oara","para"
"ean","vean"
"lic","licenciado"
"sabra","sabrá"
"ańo","año"
"nn","no"
"aran","harán"
"morenos","de MORENA"
"vaja","baja"
"ceeo","cero"
"lela","tonta"
"mmdas","mamadas"
"mui","muy"
"iva","iba"
"biten","voten"
"xsi","por si"
"dls","dólares"
"artos","hartos"
"pex","pedo"
"cd","ciudad"
"psra","para"
"bo","no"
"diria","diría"
"nod","nos"
"nc","narcotráfico"
"aen","en"
"alsa","alza"
"deq","de que"
"yega","llega"
"nasi","nací"
"allan","habían"
"ubo","hubo"
"dic","dicen"
"vd","verdad"
"bio","vio"
"li","lo"
"xoxlil","xochitl"
"pla","plan"
"tubo","tuvo"
"tube","tuve"
"xon","son"
"cres","crees"
"rs","es"
"dirian","dirían"
"tines","tienes"
"ere","erre"
"qon","con"
"doc","doctora"
"avita","habita"
"car","cara"
"xochicle","xochitl idiota"
"vere","veré"
"poque","porque"
"veian","veían"
"byo","y"
"fan","fanático"
"éso","eso"
"otr","otros"
"tipa","señora"
"ch","chingó"
"eh","he"
"á","a"
"l9s","los"
"fallo","falló"
"parda","Sheinbaum"
"prianprdmc","PRIANRDMC al que representa xochitl"
"tv","televisión"
"cage","cagué"
"len","le"
"acen","hacen"
"cash","dinero"
"prox","próximo"
"cs","Claudia Sheinbaum"
"let","vamos"
"hdz","hernandez"
"habe","hable"
"otrá","otra"
"sono","sonó"
"falto","faltó"
"crees","creés"
"ésto","esto"
"mocho","facho"
"edo","estado"
"nono","no no"
"uta","puta"
"èl","él"
"xoclitl","xochitl"
"np","no"
"sheimabaum","sheinbaum"
"vt","vete"
"éste","este"
"reia","reía"
"haser","ser"
"ña","la"
"mani","maynez"
"momen","mamen"
"saver","saber"
"sabia","sabía"
"not","no"
"maínes","maynez"
"cren","creen"
"autos","automóviles"
"pedi","pedí"
"cria","cría"
"maus","maya"
"sl","al"
"atte","atentamente"
"goda","gorda"
"hara","hará"
"pera","para"
"veria","vería"
"mex","méxico"
"meco","idiota"
"dico","dedico"
"cai","cae"
"adas","cagadas"
"cido","sido"
"diran","dirán"
"veran","verán"
"oido","oído"
"veras","verdad"
"very","ver"
"mam3n","mamen"
"chicha","chicharo"
"caya","calla"
"df","ciudad de méxico"
"mty","monterrey"
"bes","vez"
"yaa","ya"
"hare","haré"
"cando","cuando"
"boba","tonta"
"priandr","PRIANRD"
"ship","pareja"
"lq","la"
